Timestamp,Created At,recipe,oilsetvalue,mixingactualtemp,mode,carbonsetvalue,batchrecipesetvalue,polymeractualweight,rampositionup,carbonactualvalue,oilactualvalue,polymersetvalue,chem3,hopperdooropen,rampositiondown,mixingsettemp,dropdooropen,batchrecipeactualvalue,energykwh,carbondischargestart,recipecode,chem1,dropdoorclose,chem2,part.code,operator.code,machine.status,job.value,rejection.code,dischargedooropen,operation2.code,dischargetime,hopperdoorclose,mixingtime,reason.code,energykw_value,dropdooropen1,operation.code,hopper_raw_open,hopper_raw_close,feedingtime,POLYMER_2_SET_WEIGHT,CARBON_2_SET_WEIGHT,POLYMER_4_ACTUAL_WEIGHT,OIL_1_SET_WEIGHT,TCU_2_ACTUAL,POLYMER_5_CODE,POLYMER_3_ACTUAL_WEIGHT,POLYMER_1_CODE,POLYMER_2_CODE,POLYMER_4_CODE,TCU_1_ACTUAL,TCU_1_SET,TCU_3_SET,POLYMER_1_SET_WEIGHT,POLYMER_2_ACTUAL_WEIGHT,Sequence,POLYMER_4_SET_WEIGHT,CHEM_3_CODE,OIL_1_ACTUAL_WEIGHT,TCU_3_ACTUAL,POLYMER_5_SET_WEIGHT,CARBON_3_SET_WEIGHT,OIL_3_ACTUAL_WEIGHT,CHEM_1_CODE,CHEM_2_CODE,CARBON_2_ACTUAL_WEIGHT,POLYMER_3_SET_WEIGHT,POLYMER_5_ACTUAL_WEIGHT,POLYMER_1_ACTUAL_WEIGHT,CARBON_3_ACTUAL_WEIGHT,OIL_2_ACTUAL_WEIGHT,CARBON_1_SET_WEIGHT,OIL_2_SET_WEIGHT,TCU_2_SET,CARBON_1_ACTUAL_WEIGHT,OIL_3_SET_WEIGHT,POLYMER_3_CODE,OIL_TRIGGER,oilactualweight,CURRENT_POLYMER_WEIGHT,DUST_SEAL_1,OIL_1_CODE,CARBON_3_CODE,CURRENT_CARBON_BATCH,CURRENT_OIL_WEIGHT,HYDRAULIC_OIL_TEMPERATURE_ACTUAL,CURRENT_CARBON_WEIGHT,DUST_SEAL_4,carbonactualweight,totalbatchweight,energykw_set,CARBON_2_CODE,OIL_3_CODE,Actual_Mixing_Energy,CARBON_TRIGGER,POLYMER_TRIGGER,OIL_2_CODE,DUST_SEAL_2,OIL_HOLDING_TANK,CURRENT_POLYMER_BATCH,DUST_SEAL_3,CARBON_1_CODE,CURRENT_OIL_BATCH,associated_oil_weight,associated_carbon_weight,batchactualvalue,associated_polymer_weight,SEQ_11_RAM_PRESSURE,SEQ_5_KWH,SEQ_10_KWH,BEARING_1_FLOW_SWITCH_RETURN_FEEDBACK,BEARING_LUBE_PULSE_FEEDBACK,MAIN_MOTOR_WINDING_TEMPERATURE_4,MAIN_MOTOR_WINDING_TEMPERATURE_6,SEQ_4_RAM_PRESSURE,SEQ_6_RAM_PRESSURE,SEQ_7_RAM_PRESSURE,SEQ_5_RPM,SEQ_3_KWH,SEQ_3_TEMP,MAIN_MOTOR_WINDING_TEMPERATURE_1,MAIN_MOTOR_WINDING_TEMPERATURE_3,SEQ_2_RAM_PRESSURE,DUST_LUBE_OUTER_TANK_LEVEL_LOW,MAIN_MOTOR_BEARING_TEMPERATURE_2,SEQ_5_RAM_PRESSURE,SEQ_9_RAM_PRESSURE,SEQ_6_KWH,SEQ_6_TEMP,SEQ_9_TEMP,SEQ_9_KWH,SEQ_1_RAM_PRESSURE,GREASE_PUMP_ON,MAIN_MOTOR_WINDING_TEMPERATURE_2,MAIN_MOTOR_DRIVE_END_VIBRATION,SEQ_10_RAM_PRESSURE,SEQ_6_RPM,SEQ_5_TEMP,SEQ_1_RPM,SEQ_7_RPM,SEQ_4_TEMP,MIXING_RPM_ACTUAL,SEQ_3_RAM_PRESSURE,SEQ_9_RPM,SEQ_11_RPM,SEQ_2_KWH,SEQ_1_TEMP,SEQ_8_TEMP,BEARING_4_FLOW_SWITCH_RETURN_FEEDBACK,MAIN_MOTOR_WINDING_TEMPERATURE_5,ACTUAL_MOTOR_TORQUE,SEQ_10_RPM,SEQ_8_KWH,SEQ_2_TEMP,DUST_LUBE_INNER_TANK_LEVEL_LOW,MAIN_MOTOR_COOL_AIR_TEMPERATURE_2,HOPPER_OPEN_COUNTER,SEQ_8_RAM_PRESSURE,SEQ_1_KWH,SEQ_2_RPM,SEQ_4_RPM,SEQ_10_TEMP,SEQ_11_TEMP,MAIN_MOTOR_BEARING_TEMPERATURE_1,ACTUAL_MIXING_RPM,SEQ_4_KWH,SEQ_7_TEMP,MAIN_MOTOR_COOL_AIR_TEMPERATURE_1,MOTOR_TORQUE_ACTUAL,SEQ_8_RPM,SEQ_3_RPM,SEQ_7_KWH,SEQ_11_KWH,BEARING_2_FLOW_SWITCH_RETURN_FEEDBACK,BEARING_3_FLOW_SWITCH_RETURN_FEEDBACK,hopperdooropencommand,dump_temperature,dropdoorcommand,MAIN_MOTOR_DRIVE_END_TEMPERATURE,LUBE_PULSE_ALARM,LUBE_PULSE_COUNTER,mixerstatus,issetuptime,reason_code_raw,operator_dummy,mainenergy,mixer_hold,cycle_hold,auto_override_enable,MAIN_DRIVE_WATER_TEMPERATURE,program.code,program2.code
2024-08-02 05:42:24.000,2024-08-02 05:42:46.942,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.8,38,38,217.07,0,0,0,Null,0,25.57,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.4,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:42:44.000,2024-08-02 05:43:08.640,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.62,Null,0,MB-200,XMB98-C,Null,29.87,38,38,217.07,0,0,0,Null,0,25.57,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.4,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:43:05.000,2024-08-02 05:43:26.765,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.87,38,38,217.07,0,0,0,Null,0,25.57,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.4,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:43:25.000,2024-08-02 05:43:48.640,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.85,38,38,217.07,0,0,0,Null,0,25.57,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:43:45.000,2024-08-02 05:44:08.640,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.61,Null,0,MB-200,XMB98-C,Null,29.76,38,38,217.07,0,0,0,Null,0,25.6,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:44:05.000,2024-08-02 05:44:26.942,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.82,38,38,217.07,0,0,0,Null,0,25.6,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:44:25.000,2024-08-02 05:44:46.765,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.61,Null,0,MB-200,XMB98-C,Null,29.85,38,38,217.07,0,0,0,Null,0,25.6,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:44:45.000,2024-08-02 05:45:06.942,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.61,Null,0,MB-200,XMB98-C,Null,29.78,38,38,217.07,0,0,0,Null,0,25.56,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:45:05.000,2024-08-02 05:45:26.942,,0,39.8,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.56,Null,0,MB-200,XMB98-C,Null,29.85,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:45:26.000,2024-08-02 05:45:48.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.77,38,38,217.07,0,0,0,Null,0,25.62,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.4,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:45:46.000,2024-08-02 05:46:08.938,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.77,38,38,217.07,0,0,0,Null,0,25.56,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:46:06.000,2024-08-02 05:46:28.684,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.84,38,38,217.07,0,0,0,Null,0,25.53,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:46:26.000,2024-08-02 05:46:48.938,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.82,38,38,217.07,0,0,0,Null,0,25.55,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:46:46.000,2024-08-02 05:47:16.765,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.62,Null,0,MB-200,XMB98-C,Null,29.77,38,38,217.07,0,0,0,Null,0,25.55,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:47:06.000,2024-08-02 05:47:28.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.46,Null,0,MB-200,XMB98-C,Null,29.76,38,38,217.07,0,0,0,Null,0,25.55,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:47:26.000,2024-08-02 05:47:48.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.49,Null,0,MB-200,XMB98-C,Null,29.85,38,38,217.07,0,0,0,Null,0,25.55,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,40,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:47:46.000,2024-08-02 05:48:08.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.87,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:48:07.000,2024-08-02 05:48:28.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.61,Null,0,MB-200,XMB98-C,Null,29.82,38,38,217.07,0,0,0,Null,0,25.57,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.8,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:48:27.000,2024-08-02 05:49:00.938,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.78,38,38,217.07,0,0,0,Null,0,25.6,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:48:47.000,2024-08-02 05:49:08.765,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.85,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:49:07.000,2024-08-02 05:49:28.765,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.46,Null,0,MB-200,XMB98-C,Null,29.74,38,38,217.07,0,0,0,Null,0,25.52,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:49:27.000,2024-08-02 05:49:50.945,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.56,Null,0,MB-200,XMB98-C,Null,29.74,38,38,217.07,0,0,0,Null,0,25.59,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:49:47.000,2024-08-02 05:50:08.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.62,Null,0,MB-200,XMB98-C,Null,29.78,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:50:07.000,2024-08-02 05:50:28.938,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.74,38,38,217.07,0,0,0,Null,0,25.62,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:50:27.000,2024-08-02 05:50:48.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.43,Null,0,MB-200,XMB98-C,Null,29.77,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:50:48.000,2024-08-02 05:51:14.640,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.59,Null,0,MB-200,XMB98-C,Null,29.87,38,38,217.07,0,0,0,Null,0,25.59,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:51:08.000,2024-08-02 05:51:30.765,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.45,Null,0,MB-200,XMB98-C,Null,29.76,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:51:28.000,2024-08-02 05:51:50.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.87,38,38,217.07,0,0,0,Null,0,25.6,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:51:48.000,2024-08-02 05:52:10.765,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.43,Null,0,MB-200,XMB98-C,Null,29.82,38,38,217.07,0,0,0,Null,0,25.62,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.3,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:52:08.000,2024-08-02 05:52:30.938,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.51,Null,0,MB-200,XMB98-C,Null,29.78,38,38,217.07,0,0,0,Null,0,25.61,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.2,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
2024-08-02 05:52:28.000,2024-08-02 05:52:50.942,,0,39.7,0,,23,0,0,,-0.1,0,,0,1,130.79,0,23,0,,,0,1,0,XMB98,tech,,0,,,,0,1,0,,0,,6,,,0,7.93,0,0,0,27.58,Null,0,MB-200,XMB98-C,Null,29.77,38,38,217.07,0,0,0,Null,0,25.59,0,0,0,Null,Null,0,0,0,0,0,0,0,0,38,0,0,Null,3,0,,39.9,Null,Null,0,,,,40.2,0,0,0,Null,Null,0,3,3,Null,39.7,0,23,40.3,Null,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,21276,,,,,,,,,,,,,,,,,0,0,,,,,0,111,0,0,,,,,,,,,
